@timestamp,@version,capacity_bytes,date,failure,model,serial_number,lifetime,model_encoded
2018-01-01T09:38:29.732Z,0.0,0.9999999999999999,2017-04-18 21:00:00+00:00,1,ST8000DM002,ZA11WTAK,0.41103448275862065,23
2018-01-01T09:38:01.463Z,0.0,0.011878343876276592,2017-04-18 21:00:00+00:00,1,ST250LM004 HN,S2T0J9ACB00405,0.6510344827586206,10
2018-01-01T09:57:00.561Z,0.0,0.4900017258716266,2017-04-28 21:00:00+00:00,1,ST4000DM000,Z300GQJ1,0.6648275862068964,17
2018-01-01T09:45:45.712Z,0.0,0.9999999999999999,2017-04-20 21:00:00+00:00,1,ST8000DM002,ZA13QBYE,0.2179310344827586,23
2018-01-01T09:49:00.954Z,0.0,0.4900017258716266,2017-04-22 21:00:00+00:00,1,ST4000DM000,Z3040KMY,0.656551724137931,17
2018-01-01T09:54:40.751Z,0.0,0.4900017258716266,2017-04-26 21:00:00+00:00,1,ST4000DM000,W300DD6P,0.6620689655172413,17
2018-01-01T09:59:25.231Z,0.0,0.4900017258716266,2017-04-29 21:00:00+00:00,1,ST4000DM000,S300XBP0,0.666206896551724,17
2018-01-01T10:00:03.164Z,0.0,0.4900017258716266,2017-04-30 21:00:00+00:00,1,ST4000DM000,Z305BNDZ,0.6675862068965516,17
2018-01-01T09:48:32.821Z,0.0,0.9999999999999999,2017-04-22 21:00:00+00:00,1,ST8000DM002,ZA12QCHW,0.27172413793103445,23
2018-01-01T09:13:19.327Z,0.0,0.4900017258716266,2017-04-04 21:00:00+00:00,1,HGST HMS5C4040BLE640,PL2331LAH46A7J,0.496551724137931,2
2018-01-01T09:31:22.089Z,0.0,0.4900017258716266,2017-04-13 21:00:00+00:00,1,ST4000DM000,Z3059LJ1,0.6137931034482758,17
2018-01-01T09:35:12.935Z,0.0,0.4900017258716266,2017-04-16 21:00:00+00:00,1,ST4000DX000,Z1Z054BY,0.6482758620689654,20
2018-01-01T09:30:04.909Z,0.0,0.4900017258716266,2017-04-13 21:00:00+00:00,1,HGST HMS5C4040BLE640,PL1331LAHBSRGH,0.034482758620689655,2
2018-01-01T09:21:49.393Z,0.0,0.4900017258716266,2017-04-08 21:00:00+00:00,1,HGST HMS5C4040ALE640,PL1331LAGSE14H,0.6372413793103447,1
2018-01-01T09:29:39.918Z,0.0,0.4900017258716266,2017-04-12 21:00:00+00:00,1,ST4000DM000,Z305BAKB,0.5889655172413792,17
2018-01-01T09:34:46.476Z,0.0,0.4900017258716266,2017-04-16 21:00:00+00:00,1,ST4000DM000,Z300GQ7V,0.6482758620689654,17
2018-01-01T09:20:14.617Z,0.0,0.4900017258716266,2017-04-07 21:00:00+00:00,1,ST4000DM000,W300D26M,0.6358620689655171,17
2018-01-01T09:23:30.574Z,0.0,0.4900017258716266,2017-04-09 21:00:00+00:00,1,ST4000DM000,Z3054HPN,0.40551724137931033,17
2018-01-01T09:30:58.762Z,0.0,0.4900017258716266,2017-04-13 21:00:00+00:00,1,ST4000DM000,Z300GZBV,0.6441379310344827,17
2018-01-01T09:33:51.310Z,0.0,0.4900017258716266,2017-04-15 21:00:00+00:00,1,ST4000DM000,Z3024W1C,0.6468965517241378,17
2018-01-01T09:14:06.779Z,0.0,0.4900017258716266,2017-04-05 21:00:00+00:00,1,ST4000DX000,Z1Z03J9E,0.633103448275862,20
2018-01-01T10:07:19.672Z,0.0,0.4900017258716266,2017-05-05 21:00:00+00:00,1,ST4000DM000,Z304L9P8,0.6744827586206895,17
2018-01-01T10:06:52.702Z,0.0,0.4900017258716266,2017-05-04 21:00:00+00:00,1,ST4000DM000,Z3023X6K,0.673103448275862,17
2018-01-01T10:10:33.557Z,0.0,0.4900017258716266,2017-05-07 21:00:00+00:00,1,ST4000DM000,Z302AKQS,0.6772413793103448,17
2018-01-01T10:12:23.701Z,0.0,0.4900017258716266,2017-05-08 21:00:00+00:00,1,Hitachi HDS5C4040ALE630,PL2311LAG1L4AC,0.6786206896551723,5
2018-01-01T10:18:32.637Z,0.0,0.4900017258716266,2017-05-12 21:00:00+00:00,1,HGST HMS5C4040BLE640,PL2331LAHBAP3J,0.45379310344827584,2
2018-01-01T10:17:49.741Z,0.0,0.4900017258716266,2017-05-12 21:00:00+00:00,1,ST4000DM000,Z305D2KE,0.6303448275862068,17
2018-01-01T10:13:10.020Z,0.0,0.4900017258716266,2017-05-09 21:00:00+00:00,1,ST4000DM000,W300J8DX,0.40551724137931033,17
2018-01-01T10:10:51.144Z,0.0,0.4900017258716266,2017-05-07 21:00:00+00:00,1,ST4000DM000,Z300TXH6,0.6772413793103448,17
2018-01-01T10:10:59.993Z,0.0,0.4900017258716266,2017-05-07 21:00:00+00:00,1,ST4000DM000,Z3015SZN,0.9999999999999998,17
